movie_id,title,directors,starring,release_year,mpaa_rating
23,Teenage Mutant Ninja Turtles: Mutant Mayhem | Extended Preview,"Jeff Rowe,Kyler Spears","Micah Abbey,Shamon Brown,Nicolas Cantu,Brady Noon",2023,PG
24,Mike and Dave Need Wedding Dates (4K UHD),Jake Szymanski,"Anna Kendrick,Zac Efron,Adam Devine",2016,R
25,The Equalizer 3 - Bonus X-Ray Edition,Antoine Fuqua,"Denzel Washington,Dakota Fanning,Eugenio Mastrandrea",2023,R
26,Pitch Perfect,Jason Moore,"Anna Kendrick,Skylar Astin,Rebel Wilson,Adam Devine",2012,PG-13
27,Jurassic World Dominion,Colin Trevorrow,"Chris Pratt,Bryce Dallas Howard,Laura Dern",2022,PG-13
28,Champions,Bobby Farrelly,"Woody Harrelson,Kaitlin Olson,Matt Cook",2023,PG-13
29,Rock Dog 2: Rock Around the Park,Mark Baldo,"Andrew Francis,Ashleigh Ball,Brian Dobson",2021,Não classificado
30,The Forever Purge,Everardo Valerio Gout,"Ana de la Reguera,Tenoch Huerta,Cassidy Freeman",2021,R
31,Halloween Ends,David Gordon Green,"Jamie Lee Curtis,Andi Matichak,Rohan Campbell",2022,R
32,Elvis,Baz Luhrmann,"Tom Hanks,Austin Butler,Helen Thomson",2022,PG-13
33,Meg 2: The Trench,Ben Wheatley,"Jason Statham,Wu Jing,Sophia Shuya Cai,Page Kennedy",2023,PG-13
34,Unhinged,Derrick Borte,"Russell Crowe,Caren Pistorius,Gabriel Bateman",2020,R
35,Barbie,Greta Gerwig,"Margot Robbie,Ryan Gosling,America Ferrera",2023,PG-13
36,Joker,Todd Phillips,"Joaquin Phoenix,Robert De Niro,Zazie Beetz",2019,R
37,Smurfs: The Lost Village,Kelly Asbury,"Demi Lovato,Rainn Wilson,Joe Manganiello",2017,PG
38,That's My Boy,Sean Anders,"Adam Sandler,Andy Samberg,Leighton Meester,James Caan",2012,R
39,The Bourne Legacy,Tony Gilroy,"Jeremy Renner,Rachel Weisz,Edward Norton,Joan Allen",2012,PG-13
40,The Spy Who Dumped Me,Susanna Fogel,"Mila Kunis,Kate McKinnon,Justin Theroux",2018,R
41,Old,M. Night Shyamalan,"Gael Garcia Bernal,Vicky Krieps,Alex Wolff",2021,PG-13
42,John Wick: Chapter 4,Chad Stahelski,"Keanu Reeves,Donnie Yen,Bill Skarsgård",2023,R
43,Sicario,Denis Villeneuve,"Emily Blunt,Benicio Del Toro",2015,R
44,The Addams Family,Conrad Vernon,"Oscar Isaac,Charlize Theron,Chloë Grace Moretz",2019,PG
45,The Super Mario Bros. Movie - Bonus X-Ray Edition,"Aaron Horvath,Michael Jelenic","Chris Pratt,Anya Taylor-Joy,Charlie Day,Jack Black",2023,PG
46,My Fault,Domingo González,"Nicole Wallace,Gabriel Guevara,Marta Hazas",2023,Não classificado
47,Sonic the Hedgehog 2,Jeff Fowler,"James Marsden,Tika Sumpter,Natasha Rothwell",2022,PG
48,Jonah Hex,Jimmy Hayward,"Josh Brolin,John Malkovich,Megan Fox",2010,PG-13
49,Parker,Taylor Hackford,"Jason Statham,Jennifer Lopez,Michael Chiklis",2013,R
50,The Twilight Saga: New Moon,Chris Weitz,"Dakota Fanning,Graham Greene,Elizabeth Reaser",2009,PG-13
51,Wonder Woman 1984,Patty Jenkins,"Gal Gadot,Chris Pine,Kristen Wiig,Pedro Pascal",2020,PG-13
52,Angel Eyes,Luis Mandoki,"Jennifer Lopez,Jim Caviezel,Terrence Howard",2001,R
53,Creed III,Michael B. Jordan,"Michael B. Jordan,Tessa Thompson",2023,PG-13
54,M3GAN,Gerard Johnstone,"Allison Williams,Ronny Chieng,Violet McGraw",2023,PG-13
55,Justice League,Zack Snyder,"Ben Affleck,Amy Adams,Gal Gadot,Ray Fisher",2017,PG-13
56,"Red, White & Royal Blue",Matthew López,"Nicholas Galitzine,Taylor Zakhar Perez,Uma Thurman",2023,R
57,Saw,James Wan,"Cary Elwes,Danny Glover,Monica Potter,Michael Emerson",2004,R
58,Smile,Parker Finn,"Sosie Bacon,Kyle Gallner,Jessie T. Usher",2022,R
59,Love & Murder: Atlanta Playboy Part One,Jaira Thomas,"Taye Diggs,Keesha Sharp,Rob Brown,Ciera Payton",2023,Não classificado
60,Tales of Halloween,"Darren Lynn Bousman,Axelle Carolyn,Adam Gierasch","Lin Shaye,Pat Healy,Barry Bostwick,Joe Dante",2015,Não classificado
61,The Addams Family 2,"Greg Tiernan,Conrad Vernon,Laura Brousseau","Oscar Isaac,Charlize Theron,Chloë Grace Moretz",2021,PG
62,The Bourne Supremacy,Paul Greengrass,"Matt Damon,Franka Potente,Brian Cox,Julia Stiles",2004,PG-13
63,Knock at the Cabin,M. Night Shyamalan,"Dave Bautista,Jonathan Groff,Ben Aldridge",2023,R
64,The Blackening,Tim Story,"Sinqua Walls,Jay Pharoah,James Preston Rogers",2023,R
65,Harlem Nights,Eddie Murphy,"Eddie Murphy,Richard Pryor,Redd Foxx,Danny Aiello",1989,R
66,Godzilla vs. Kong,Adam Wingard,"Alexander Skarsgård,Millie Bobby Brown,Rebecca Hall",2021,PG-13
67,The Black Phone,Scott Derrickson,"Ethan Hawke,Mason Thames,Madeleine McGraw",2022,R
68,Transformers: Rise of the Beasts,Steven Caple,"Anthony Ramos,Dominique Fishback",2023,PG-13
69,Suicide Squad (2016),David Ayer,"Will Smith,Jared Leto,Margot Robbie,Joel Kinnaman",2016,PG-13
70,Air,Ben Affleck,"Matt Damon,Ben Affleck,Viola Davis",2023,R
71,Red Sparrow,Francis Lawrence,"Jennifer Lawrence,Joel Edgerton,Matthias Schoenaerts",2018,R
72,The Bourne Identity,Doug Liman,"Matt Damon,Franka Potente,Chris Cooper,Clive Owen",2002,PG-13
73,Nope,Jordan Peele,"Daniel Kaluuya,Keke Palmer,Steven Yeun",2022,R
74,Everything is Both,Ceth Watson,"Jason Mitchell,Barton Fitzpatrick",2023,Não classificado
75,Memory,Martin Campbell,"Liam Neeson,Guy Pearce,Monica Bellucci,Taj Atwal",2022,Não classificado
76,Freaky,Christopher Landon,"Vince Vaughn,Kathryn Newton,Katie Finneran",2020,R
77,Nobody,Ilya Naishuller,"Bob Odenkirk,Connie Nielsen,Alexey Serebryakov,RZA",2021,R
78,The Rebound,Bart Freundlich,"Catherine Zeta-Jones,Justin Bartha,Andrew Cherry",2012,R
79,Mama,Andres Muschietti,"Jessica Chastain,Nikolaj Coster-Waldau",2013,PG-13
80,The Magic Of Belle Isle,Rob Reiner,"Morgan Freeman,Virginia Madsen",2012,PG
81,Operation Fortune: Ruse de Guerre,Guy Ritchie,"Josh Hartnett,Jason Statham,Cary Elwes,Eddie Marsan",2023,R
82,Edge of Darkness,Martin Campbell,"Mel Gibson,Ray Winstone,Danny Huston",2010,R
83,Snapshot of Love,Elizabeth Snoderly,"Lexi Giovagnoli,Benedict Mazurek",2022,Não classificado
84,Puppy Love,"Richard Alan Reid_,Nick Fabiano","Lucy Hale,Grant Gustin,Christine Lee,Al Miro",2023,Não classificado
85,Cold Pursuit,Hans Petter Moland,"Liam Neeson,Laura Dern,Emmy Rossum,Tom Bateman",2019,Não classificado
86,My Louisiana Sky,Adam Arkin,"Juliette Lewis,Michael Cera,Shirley Knight",2001,Não classificado
87,Running Scared,---,"Paul Walker,Cameron Bright,Vera Farmiga",2006,R
88,Devil,"John Erick Dowdle,Drew Dowdle","Chris Messina,Logan Marshall-Green,Geoffrey Arend",2010,PG-13
89,Wonder Woman,Patty Jenkins,"Gal Gadot,Chris Pine,Robin Wright,Danny Huston",2017,PG-13
90,Interstellar,Christopher Nolan,"Matthew McConaughey,Anne Hathaway,Jessica Chastain",2014,PG-13
91,PAW Patrol: The Movie,Cal Brunker,"Tyler Perry,Ron Pardo,Will Brisbin",2021,G
92,Ozzy,Alberto Rodriguez,"Jeff Foxworthy,Rob Schneider,Frankie Quinones",2017,G
93,"The Twilight Saga: Breaking Dawn, Part 2",Bill Condon,"Dakota Fanning,Elizabeth Reaser,Julia Jones",2012,PG-13
94,The Break-Up,Sharon Vaughn,"Vince Vaughn,Jennifer Aniston,Joey Lauren Adams",2006,PG-13
95,The Tomorrow War,Chris McKay,"Chris Pratt,J.K. Simmons,Yvonne Strahovski",2021,PG-13
96,No Hard Feelings,Gene Stupnitsky,"Jennifer Lawrence,Andrew Barth Feldman,Laura Benanti",2023,R
97,No Time to Die,Cary Joji Fukunaga,"Daniel Craig,Rami Malek,Léa Seydoux,Lashana Lynch",2021,PG-13
98,The SpongeBob Movie: Sponge Out Of Water,"Mike Mitchell,Paul Tibbitt",Antonio Banderas,2015,PG
99,Ticket to Paradise,Ol Parker,"George Clooney,Julia Roberts,Kaitlyn Dever",2022,Não classificado
100,Shaft (2019),Tim Story,"Samuel L. Jackson,Jessie T. Usher,Richard Roundtree",2019,R
101,Jigsaw,"Michael Spierig,Peter Spierig","Hannah Anderson,Laura Vandervoort",2017,R
102,You Asked to See the Monster,Thomas Leader,Gary Green,2023,Não classificado
103,Scooby-Doo!: The Movie,Raja Gosnell,"Freddie Prinze, Jr.,Sarah Michelle Gellar",2002,PG
104,Mission: Impossible - Dead Reckoning Part One,Christopher McQuarrie,"Tom Cruise,Hayley Atwell,Ving Rhames,Simon Pegg",2023,PG-13
105,Talk to Me,"Danny Philippou,Michael Philippou",Sophie Wilde,2023,R
106,Constantine,Francis Lawrence,"Keanu Reeves,Rachel Weisz,Shia LaBeouf,Tilda Swinton",2005,R
107,Blacklight,Mark Williams,"Liam Neeson,Emmy Raver-Lampman,Taylor John Smith",2022,PG-13
108,Running with the Devil,Jason Cabell,"Nicolas Cage,Laurence Fishburne",2019,R
109,The Post,Steven Spielberg,"Meryl Streep,Tom Hanks,Sarah Paulson,Bob Odenkirk",2017,PG-13
110,Watchmen,Zack Snyder,"Malin Akerman,Billy Crudup,Matthew Goode,Carla Gugino",2009,R
111,Terrifier 2,Damien Leone,"Lauren LaVera,David Howard Thornton,Elliott Fullam",2022,R
112,The Wedding Singer,Frank Coraci,"Adam Sandler,Drew Barrymore,Christine Taylor",1998,PG-13
113,Mission: Impossible - Dead Reckoning Part One,Christopher McQuarrie,"Tom Cruise,Hayley Atwell,Ving Rhames,Simon Pegg",2023,PG-13
114,The Lost City,"Adam Nee,Aaron Nee","Sandra Bullock,Channing Tatum,Daniel Radcliffe",2022,PG-13
115,Running with the Devil,Jason Cabell,"Nicolas Cage,Laurence Fishburne",2019,R
116,Fantastica: A Boonie Bears Adventure,Leon Ding,"Mario Lopez,Josh Peck,Joseph S. Lambert,Gene Hobbs",2019,G
117,Howard's Mill,"Shannon Houchins,Potsy Ponciroli","Reegus Flenory,Josafina F Boneo,Jeremy Childs",2021,Não classificado
118,The Nun II,Michael Chaves,"Taissa Farmiga,Jonas Bloquet,Storm Reid",2023,R
119,Baked With a Kiss,Brittany Underwood,"Jonathan Stoddard,Ansley Gordon,Milly Figuereo",2023,G
120,The Jungle Bunch,David Alaux,"Keith Silverstein,Kirk Thornton,Erin Fitzgerald",2017,Não classificado
121,80 for Brady,Kyle Marvin,"Lily Tomlin,Jane Fonda,Rita Moreno,Sally Field",2023,PG-13
122,Scream VI,"Matt Bettinelli-Olpin,Tyler Gillett","Melissa Barrera,Jasmin Savoy Brown,Jack Champion",2023,R
123,Scooby-Doo!: The Movie,Raja Gosnell,"Freddie Prinze, Jr.,Sarah Michelle Gellar",2002,PG
124,Dog,"Channing Tatum,Reid Carolin","Channing Tatum,Jane Adams,Kevin Nash",2022,PG-13
125,Shazam!,David Sandberg,"Zachary Levi,Asher Angel,Mark Strong",2019,PG-13
126,Pavement,Darrell James Roodt,"Robert Patrick,Lauren Holly",2002,R
127,The Equalizer,Antoine Fuqua,"Denzel Washington,Marton Csokas,Chloë Grace Moretz",2014,R
128,Driving Miss Daisy,Bruce Beresford,"Morgan Freeman,Jessica Tandy,Dan Aykroyd,Patti LuPone",1990,PG
129,M3GAN (Unrated),Gerard Johnstone,"Allison Williams,Ronny Chieng,Violet McGraw",2023,PG-13
130,Saw II,Darren Lynn Bousman,"Donnie Wahlberg,Tobin Bell,Shawnee Smith,Franky G.",2005,R
131,PAW Patrol: Mighty Pups,Jamie Whitney,"Devan Cohen,Owen Mason,Kallan Holley,Gage Munroe",2018,Não classificado
132,Grace of Monaco,Olivier Dahan,"Nicole Kidman,Tim Roth,Frank Langella,Paz Vega",2014,Não classificado
133,Act of Valor,"Mike McCoy,Scott Waugh","Roselyn Sanchez,Nestor Serrano,Rorke Denver",2012,R
134,Observe and Report,Jody Hill,"Seth Rogen,Anna Faris,Michael Peña,Celia Weston",2009,R
135,Indiana Jones and the Dial of Destiny (Bonus Content and X-Ray Features),James Mangold,"Harrison Ford,Phoebe Waller-Bridge,Mads Mikkelsen",2023,PG-13
136,Tom & Jerry,Tim Story,"Chloë Moretz,Michael Peña,Colin Jost,Rob Delaney",2021,PG
137,"Love & Murder: Atlanta Playboy, Pt. 2",Jaira Thomas,"Taye Diggs,Keesha Sharp,Rob Brown,Ciera Payton",2023,Não classificado
138,The Hot Chick,Tom Brady,"Rob Schneider,Anna Faris,Matthew Lawrence",2002,PG-13
139,Greater,David Hunt,"Neal McDonough,Chris Severio,Leslie Easterbrook",2016,PG
140,Extraction,Steven Miller,"Kellan Lutz,Bruce Willis,Gina Carano,D.B. Sweeney",2015,R
141,Saw III,Darren Lynn Bousman,"Tobin Bell,Shawnee Smith,Bahar Soomekh",2006,R
142,Fools Rush In,Andy Tennant,"Matthew Perry,Salma Hayek,Jon Tenney,Jill Clayburgh",1997,PG-13
143,Legally Blonde,Robert Luketic,"Reese Witherspoon,Luke Wilson,Selma Blair",2001,PG-13
144,Blitz,Elliott Lester,"Jason Statham,Paddy Considine,Aidan Gillen",2011,R
145,Saw III,Darren Lynn Bousman,"Tobin Bell,Shawnee Smith,Bahar Soomekh",2006,R
146,Twilight Saga: Breaking Dawn Part 1,Bill Condon,"Kristen Stewart,Robert Pattinson,Taylor Lautner",2011,PG-13
147,Blitz,Elliott Lester,"Jason Statham,Paddy Considine,Aidan Gillen",2011,R
148,Fools Rush In,Andy Tennant,"Matthew Perry,Salma Hayek,Jon Tenney,Jill Clayburgh",1997,PG-13
149,Puss in Boots,Chris Miller,"Antonio Banderas,Salma Hayek,Zach Galifianakis",2011,PG
150,Amy's F It List,Mark S. Allen,"Alyson Gorske,Angel Prater,Mark DeCarlo",2023,Não classificado
151,One for the Money,Julie Anne Robinson,"Katherine Heigl,Jason O'Mara,Daniel Sunjata",2012,PG-13
152,10 YEARS,Jamie Linden,"Channing Tatum,Chris Pratt,Jenna Dewan-Tatum",2012,PG-13
153,Violent Night,Tommy Wirkola,"David Harbour,John Leguizamo,Alex Hassell",2022,R
154,Blood and Money,John Barr,"Tom Berenger,Kristen Hager,Paul Ben-Victor",2020,Não classificado
155,Sisu,Jalmari Helander,"Onni Tommila,Jorma Tommila,Aksel Hennie,Jack Doolan",2023,R
156,The Peanut Butter Falcon,"Michael Schwartz, Tyler Nilson","Zack Gottsagen,Ann  Owens",2019,PG-13
157,Beast,Baltasar Kormakur,"Liyabuya Gongo,Martin Munro,Daniel Hadebe",2022,R
158,Bewitched,Nora Ephron,"Nicole Kidman,Will Ferrell,Shirley MacLaine",2005,Não classificado
159,The Night Clerk,Michael Cristofer,"Tye Sheridan,Ana de Armas,John Leguizamo,Helen Hunt",2020,R
160,Wild Target,Jonathan Lynn,"Bill Nighy,Emily Blunt,Rupert Grint,Rupert Everett",2010,PG-13
161,Teenage Mutant Ninja Turtles,Jonathan Liebesman,"Megan Fox,Will Arnett,William Fichtner",2014,PG-13
162,The Secret: Dare to Dream,Andy Tennant,"Katie Holmes,Josh Lucas,Jerry O'Connell,Celia Weston",2020,PG
163,"Legally Blonde 2: Red, White & Blonde",Charles Herman-Wurmfeld,"Reese Witherspoon,Sally Field,Regina King",2003,PG-13
164,Leap!,"Eric Summer,Eric Warin","Elle Fanning,Nat Wolff,Maddie Ziegler,Mel Brooks",2017,PG
165,The Darkest Minds,Jennifer Yuh Nelson,"Amandla Stenberg,Mandy Moore,Gwendoline Christie",2018,PG-13
166,Green Lantern,Martin Campbell,"Ryan Reynolds,Blake Lively,Peter Sarsgaard",2011,PG-13
167,The Pig Farm,Christine Nielsen,"Maggie Huculak,Robert Pickton",2011,Não classificado
168,Mars Attacks!,Tim Burton,"Jack Nicholson,Glenn Close,Annette Bening",1996,PG-13
169,The Watch,Akiva Schaffer,"Ben Stiller,Vince Vaughn,Jonah Hill,Richard Ayoade",2012,R
170,Blow,Ted Demme,"Johnny Depp,Penélope Cruz,Franka Potente",2001,R
171,The Birdcage,Mike Nichols,"Robin Williams,Gene Hackman,Nathan Lane",1996,R
172,Deadly Entanglement,Bobby Yan,"Monica Calhoun,Jessica A. Caesar,Vanessa Simmons",2023,Não classificado
173,Solace,Afonso Poyart,"Anthony Hopkins,Jeffrey Dean Morgan,Abbie Cornish",2016,R
174,Hercules (2014),Brett Ratner,"John Hurt,Dwayne Johnson",2014,PG-13
175,2 Guns,Baltasar Kormakur,"Denzel Washington,Mark Wahlberg,Paula Patton",2013,R
176,Clifford the Big Red Dog,Walt Becker,"Jack Whitehall,Darby Camp,Tony Hale,Sienna Guillory",2021,PG
177,Army of Darkness,Sam Raimi,"Bruce Campbell,Embeth Davidtz,Marcus Gilbert",1993,R
178,Riddick,David Twohy,"Vin Diesel,Jordi Molla,Matt Nable,Katee Sackhoff",2013,R
179,For Love Of The Game,Sam Raimi,"Kevin Costner,Kelly Preston,Jena Malone",1999,PG-13
180,To Freedom,Biodun Stephen,"Daniel Etim Effiong,Osas Ighodaro,Eso Dike",2023,Não classificado
181,Abbott and Costello Meet Frankenstein,Charles Barton,"Lou Costello,Charles Bradstreet,Bela Lugosi",1948,Não classificado
182,The Pig Farm,Christine Nielsen,"Maggie Huculak,Robert Pickton",2011,Não classificado
183,No One Lives,Ryûhei Kitamura,"Adelaide Clemens,America Olivo,Beau Knapp,Brodus Clay",2013,R
184,Horsemen (2009),Jonas Akerlund,"Dennis Quaid,Ziyi Zhang,Lou Taylor Pucci",2009,R
185,The Lincoln Lawyer,Brad Furman,"Matthew McConaughey,Marisa Tomei,Ryan Phillippe",2011,R
186,The Little Things,John Lee Hancock,"Denzel Washington,Rami Malek,Jared Leto,Chris Bauer",2021,R
187,Batman v Superman: Dawn of Justice,Zack Snyder,"Ben Affleck,Henry Cavill,Amy Adams,Jesse Eisenberg",2016,PG-13
188,Alex Cross,Rob L. Cohen,"Tyler Perry,Matthew Fox,Edward Burns,Rachel Nichols",2012,PG-13
189,Blue Beetle,Angel Manuel Solo,"Xolo Maridue,Adriana Barraza,Dami Alc?zar",2023,PG-13
190,Jailer,Nelson,"Rajinikanth,Ramya Krishnan,Vinayakan,Vasanth Ravi",2023,Não classificado
191,Transformers: Age Of Extinction,Michael Bay,"Mark Wahlberg,Nicola Peltz Beckham,Stanley Tucci",2014,PG-13
192,King Richard,Reinaldo Marcus Green,"Will Smith,Aunjanue Ellis,Saniyya Sidney",2021,PG-13
193,Son of Bigfoot,"Jérémie Degruson,Ben Stassen","Pappy Faulkner,Chris Parson,Terrence Stone",2018,PG
194,DIVINE INTERVENTION,"Pedro Pablo Ibarra, ""Pitipol Ybarra""","Adrián Uribe,Memo Villegas,Jorge Perugorría",2023,Não classificado
195,Wild Target,Jonathan Lynn,"Bill Nighy,Emily Blunt,Rupert Grint,Rupert Everett",2010,PG-13
196,Coraline,Henry Selick,"Dakota Fanning,Teri Hatcher,Jennifer Saunders",2009,PG
197,The Flash,Andy Muschietti,"Michael Keaton,Antje Traue,Kiersey Clemons",2023,PG-13
198,Moneyball,Bennett Miller,"Brad Pitt,Jonah Hill,Philip Seymour Hoffman",2011,PG-13
199,Storm Warning,Jamie Blanks,"Nadia Farès,Robert Taylor,David Lyons",2007,R
200,Miles and Lies,Celso García,"Cassandra Sanchez-Navarro,David Chocarro",2023,Não classificado
201,Picture This,Stephen Herek,"Ashley Tisdale,Robbie Amell,Kevin Pollak",2008,PG-13
202,Scooby-Doo 2: Monsters Unleashed,Raja Gosnell,"Freddie Prinze, Jr.,Sarah Michelle Gellar",2004,PG
203,Fled,Kevin Hooks,"Laurence Fishburne,Stephen Baldwin,Will Patton",1996,R
204,Gran Turismo: Based on a True Story - Bonus X-Ray Edition,Neill Blomkamp,"David Harbour,Orlando Bloom,Archie Madekwe",2023,PG-13
205,Candyman,Nia DaCosta,"Yahya Abdul-Mateen II,Teyonah Parris",2021,R
206,Monster High 2,Todd Holland,"Miia Harris,Ceci Balagot,Nayah Damasen",2023,Não classificado
207,Pixels,Chris Columbus,"Adam Sandler,Kevin James,Michelle Monaghan",2015,PG-13
208,Skin: A History of Nudity in the Movies,Danny Wolf,"Kevin Smith,Malcolm McDowell,Amy Heckerling",2020,Não classificado
209,Dr. No,Terence Young,"Sean Connery,Ursula Andress,Bernard Lee",1962,PG
210,Hoodlum,Bill Duke,"Laurence Fishburne,Tim Roth,Vanessa Williams",1997,R
211,Miles and Lies,Celso García,"Cassandra Sanchez-Navarro,David Chocarro",2023,Não classificado
212,Beetlejuice,Tim Burton,"Michael Keaton,Alec Baldwin,Geena Davis,Winona Ryder",1988,Não classificado
213,After.Life,Agnieszka Wojtowicz-Vosloo,"Christina Ricci,Justin Long,Liam Neeson",2009,R
214,Jailer,Nelson,"Rajinikanth,Ramya Krishnan,Vinayakan,Vasanth Ravi",2023,Não classificado
215,A Quiet Place Part II,John Krasinski,"Emily Blunt,Cillian Murphy,Millicent Simmonds",2021,PG-13
216,Quest for Fire,ean-Jacques Annaud,"Everett McGill,Ron Perlman,Nicholas Kadi",1982,R
217,Braven,Lin Oeding,"Jason Momoa,Zahn McClarnon,Jill Wagner,Stephen Lang",2018,R
218,Widows,Steve McQueen,"Viola Davis,Michelle Rodriguez,Elizabeth Debicki",2018,R
219,The Sisterhood of the Traveling Pants,Ken Kwapis,"Amber Tamblyn,America Ferrera,Blake Lively",2005,PG
220,jackass forever,Jeff Tremaine,"Johnny Knoxville,Steve-O,Chris Pontius,Dave England",2022,R
221,Saw IV,Darren Lynn Bousman,"Tobin Bell,Scott Patterson,Betsy Russell",2007,R
222,Contraband,"Baltasar Kormákur,Baltasar Kormakur","Kate Beckinsale,Mark Wahlberg,Ben Foster",2012,R
223,A-X-L,Oliver Daly,"Alex Neustaedter,Thomas Jane",2018,PG
224,My Big Fat Greek Wedding 3,Nia Vardalos,"Nia Vardalos,John Corbett,Louis Mandylor,Lainie Kazan",2023,PG-13
225,Nacho Libre,Jared Hess,"Jack Black,Peter Storemare",2006,PG
226,Batman v Superman: Dawn Of Justice Ultimate Edition,Zack Snyder,"Ben Affleck,Henry Cavill,Amy Adams,Jesse Eisenberg",2016,R
227,The Super,Rod Daniel,Joe Pesci,1991,R
228,Killers,Robert Luketic,"Ashton Kutcher,Katherine Heigl,Tom Selleck",2010,PG-13
229,Dear Zoe,Gren Wells,"Sadie Sink,Theo Rossi,Kweku Collins,Vivien Lyra Blair",2022,R
230,Insidious: The Red Door,Patrick Wilson,"Patrick Wilson,Rose Byrne,Ty Simpkins,Lin Shaye",2023,PG-13
231,Deep Blue Sea,Renny Harlin,"Saffron Burrows,Thomas Jane,LL Cool J",1999,R
232,Kick-Ass 2,Jeff Wadlow,"Aaron Taylor-Johnson,Christopher Mintz-Plasse",2013,R
233,The Ranch,Susan Seidelman,"Jennifer Aspen,Jessica Collins",2004,R
234,The Day After Tomorrow,Roland Emmerich,"Dennis Quaid,Jake Gyllenhaal,Ian Holm,Emmy Rossum",2004,PG-13
235,The Ride,Alex Ranarivelo,"Shane Graham,Ludacris,Sasha Alexander",2020,PG-13
236,The Infiltrator,Brad Furman,"Bryan Cranston,John Leguizamo,Diane Kruger,Amy Ryan",2016,R
237,Friday,F. Gray,"Ice Cube,Chris Tucker,Nia Long",1995,R
238,A-X-L,Oliver Daly,"Alex Neustaedter,Thomas Jane",2018,PG
239,Dr. No,Terence Young,"Sean Connery,Ursula Andress,Bernard Lee",1962,PG
240,Coneheads,Steve Barron,"Dan Aykroyd,Jane Curtin",1993,PG
241,Coneheads,Steve Barron,"Dan Aykroyd,Jane Curtin",1993,PG
242,The Ride,Alex Ranarivelo,"Shane Graham,Ludacris,Sasha Alexander",2020,PG-13
243,The Infiltrator,Brad Furman,"Bryan Cranston,John Leguizamo,Diane Kruger,Amy Ryan",2016,R
244,Scream,"Matt Bettinelli-Olpin,Tyler Gillett","Neve Campbell,Courteney Cox,David Arquette",2022,R
245,Pretty Crazy,Maurice Mo' Jones,"Chris Taylor,Corin Clay,Jasmine Dunlap,Joel Q",2023,Não classificado
246,Red Eye,Wes Craven,"Rachel McAdams,Cillian Murphy,Brian Cox,Jayma Mays",2005,PG-13
247,Texas Killing Fields,Ami Canaan Mann,"Sam Worthington,Jeffrey Dean Morgan",2011,R
248,Suicide Squad (Extended Cut),David Ayer,"Will Smith,Jared Leto,Margot Robbie,Joel Kinnaman",2016,PG-13
249,Remember Me,Allen Coulter,"Robert Pattinson,Emilie de Ravin,Chris Cooper",2010,PG-13
250,Come Play,Jacob Chase,"Azhy Robertson,Gillian Jacobs,John Gallagher Jr.",2020,Não classificado
251,My Spy,Peter Segal,"Dave Bautista,Chloe Coleman,Ken Jeong,Kristen Schaal",2020,PG-13
